	Review
18748	"""fail to include an sd card reader, otherwise excellent for photo, email and browse."""
18749	"""fail to include an sd card reader, otherwise excellent for photo, email and browse."""
18750	"""fail to include an sd card reader, otherwise excellent for photo, email and browse."""
19042	abnormally noisy fan.
19301	031424 Update: Amazon refund my purchase.
19302	031424 Update: Amazon refund my purchase.
19303	031424 Update: Amazon refund my purchase.
19304	"""the item break within 2 month, half of the screen go black for whatever reason."""
19305	have not use for game live streaming.
19306	stop work with 2 month highly disappointed.
19307	Do not buy from amazon.
19308	Do not buy from amazon.
19309	"""128 GB drive be so small you will not have room for all the app you want, especially if you put office app or photo editing app etc."""
19310	"""128 GB drive be so small you will not have room for all the app you want, especially if you put office app or photo editing app etc."""
19311	"""128 GB drive be so small you will not have room for all the app you want, especially if you put office app or photo editing app etc."""
19312	overall very disappointed in this purchase.
19313	Battery would not charge.
19328	too many addedinstalled app I do not need or want otherwise.
19329	in less than 6 month the DC jack start to get flaky.
19330	in less than 6 month the DC jack start to get flaky.
19460	"""heavy than I expect, but not bad."""
19461	Quick and no fuss.
19462	"""decent machine, especially for the price."""
19463	very user friendly.
19628	I want to thank the Best Buy Salesperson for all of their help with this product.
19731	look for functionality and affordability.
19732	not much more uou can ask for with the price.
19885	look for functionality and affordability.
19886	look for functionality and affordability.
19887	not much more uou can ask for with the price.
20346	all of the setting be set to 10 minute.
20406	I only wish the sound be well.
20428	be very careful when comparingpros.
20458	the cursor have a mind of its own.
20459	"""when not use headphone, I just use speaker, so no problem."""
20475	can not even install a Canon printer driver without exit S Mode.
20476	can not even install a Canon printer driver without exit S Mode.
20521	make sure you read eveythe very carefully before purchasing and research the exact model elsewhere besides Amazon before buy.
20522	make sure you read eveythe very carefully before purchasing and research the exact model elsewhere besides Amazon before buy.
20523	make sure you read eveythe very carefully before purchasing and research the exact model elsewhere besides Amazon before buy.
20524	display quality: be not horrible.
20525	display quality: be not horrible.
20560	I m very dissatisfied with this transaction and be not likely to renew prime membership.
20561	I m very dissatisfied with this transaction and be not likely to renew prime membership.
20562	sound quality from the onboard tiny speaker be horrible.
20563	sound quality from the onboard tiny speaker be horrible.
